Date,P. Income,P. Consumption Exp,Job_Opening,Inflaction,Ind. Prod. Cement and Concrete,Ind. Prod. Total Index,GDP_Construction,All  Employees. Res. Building,New Privately-Owned Housing Units Authorized in Permit,Purchase Only House Price Index,Sales_UND
12/1/2020,19562.2,12824.6,268,1.4,94.7941,98.2854,919.3,835.6,1758,312.04,-0.318219026
1/1/2021,21504.5,13201.3,299,1.4,83.9902,99.4076,941.2,820.6,1883,314.81,-0.302937221
2/1/2021,19955.1,13025.4,257,1.7,79.2067,96.3966,941.2,823.4,1726,319.42,-0.866326455
3/1/2021,24142.4,13621.3,336,2.6,90.3399,99.1618,941.2,838.3,1755,326.95,0.396969477
4/1/2021,20924.5,13684,329,4.2,97.1551,99.2416,951,840.7,1733,334.64,1.039824101
5/1/2021,20514.7,13616.2,308,5,97.2761,99.9226,951,853.1,1683,342.22,-1.396095717
6/1/2021,20570.5,13696.6,321,5.4,101.0569,100.4704,951,867.8,1594,348.71,-1.256521892
7/1/2021,20835.3,13653.8,337,5.4,100.5486,101.1676,951.1,882.1,1630,353.67,-1.155661975
8/1/2021,20916.3,13753.5,362,5.3,102.0453,101.0927,951.1,883.1,1721,356.24,-2.045063063
9/1/2021,20719.8,13789.9,348,5.4,101.7794,99.844,951.1,876.4,1586,358.66,-1.660980348
